name,address,experience,skills,sal_from,sal_to
Дата аналитик (Data Scientist),Санкт-Петербург,От 1 года до 3 лет,"опыт работы с задачами машинного обучения/ опыт статистической обработки данных от 1,5 лет;   опыт разработки на Python, опыт code review;   опыт работы с библиотеками для анализа данных: pandas, matplotlib, numpy, sklearn;   уверенные навыки использования Linux, Jupyter notebook, git, SQL;   знание основных моделей машинного обучения: градиентный бустинг на основе деревьев решений, логистическая регрессия с регуляризацией, метод ближайших соседей",150000,170000
Data Engineer (ETL),Москва,От 1 года до 3 лет,"ETL, MS SQL Server, ORACLE, ApacheAirflow",280000,330000
Дата аналитик (Data Scientist),Новосибирск,От 1 года до 3 лет,"опыт работы с задачами машинного обучения/ опыт статистической обработки данных от 1,5 лет;   опыт разработки на Python, опыт code review;   опыт работы с библиотеками для анализа данных: pandas, matplotlib, numpy, sklearn;   уверенные навыки использования Linux, Jupyter notebook, git, SQL;   знание основных моделей машинного обучения: градиентный бустинг на основе деревьев решений, логистическая регрессия с регуляризацией, метод ближайших соседей",100000,130000
ML-разработчик,Екатеринбург,От 3 до 6 лет,"Python, Machine Learning, RecSys, C++, ML, Data Science",300000,330000
Data scientist NLP,Москва,От 1 года до 3 лет,"Работа с одним из фреймворков PyTorch/TensorFlow; Знание основных подходов для предобработки и векторизации текста; Наличие опыта решения задач NLP для текста (Text Classification, NER, Text Summarization); Знакомство и понимание основных принципов современных SOTA моделей NLP; Владение: git, docker, sql и одним из фреймворков для реализации api.  Будет плюсом:  Участие в соревнованиях по ML/DL; Практический опыт до обучения и работы с open source LLM; Публикации по NLP; Собственные проекты по NLP",100000,170000
Data Scientist,Москва,От 3 до 6 лет,"Python, SQL, Big Data, Математический анализ",150000,250000
Data Scientist middle/senior,Москва,От 3 до 6 лет,"Python, Hadoop, Big Data, Machine Learning",210000,260000
Lead Data Scientist,Москва,Нет опыта,ML,180000,230000
Data Scientist (модельные риски и валидация),Санкт-Петербург,От 1 года до 3 лет,"Математическое моделирование, Анализ данных, Статистический анализ, Валидация моделей, Модельный риск, SQL, Python",180000,280000
Руководитель центра экспертизы по искусственному интеллекту,Москва,От 3 до 6 лет,"Экспертиза в области искусственного интеллекта и машинного обучения: глубокие знания и понимание текущих технологий ИИ, машинного обучения, нейронных сетей, алгоритмов и связанных с ними инноваций Управленческие и лидерские навыки: способность строить и вести команду специалистов, создавать продуктивную рабочую среду, и мотивировать сотрудников",150000,200000
Data Engineer,Екатеринбург,От 3 до 6 лет,"MS SQL, PostgreSQL, Java, Базы данных, Hadoop, MySQL, REST, SCALA, API, REST API, SOAP, Python, HDFS, S3, Spark, Airflow, dbt, Data Lakehouse",240000,280000
Дата аналитик (Отдел анализа конкурентов),Москва,От 1 года до 3 лет,Коммерция,150000,160000
ML Engineer,Москва,От 1 года до 3 лет,"Знание классического ML, DL; Опыт работы с Python, PyTorch, Pandas, Numpy; Навыки работы с большими объемами данных; Опыт разработки ML решений полного цикла.",150000,200000
Data Scientist,Москва,От 1 года до 3 лет,"Python, SQL, Анализ данных, Pandas, ML",100000,100000
